Branch_B,Candidate_C,PlusCount_B_not_in_C
feat/TC-413-detect-contradictions,feat/TC-600-failure-recovery,0
feat/TC-413-detect-contradictions,feat/golden-2pilots-20260201,32
feat/TC-420-snippet-curator,impl/tc300-wire-orchestrator-20260128,24
feat/TC-420-snippet-curator,integrate/main-e2e-20260128-0837,0
feat/TC-420-snippet-curator,fix/main-green-20260128-1505,0
feat/TC-420-snippet-curator,fix/env-gates-20260128-1615,0
feat/TC-420-snippet-curator,feat/TC-600-failure-recovery,0
feat/TC-420-snippet-curator,feat/golden-2pilots-20260201,41
feat/TC-421-extract-doc-snippets,impl/tc300-wire-orchestrator-20260128,23
feat/TC-421-extract-doc-snippets,integrate/main-e2e-20260128-0837,0
feat/TC-421-extract-doc-snippets,fix/main-green-20260128-1505,0
feat/TC-421-extract-doc-snippets,fix/env-gates-20260128-1615,0
feat/TC-421-extract-doc-snippets,feat/TC-600-failure-recovery,0
feat/TC-421-extract-doc-snippets,feat/golden-2pilots-20260201,37
feat/TC-422-extract-code-snippets,impl/tc300-wire-orchestrator-20260128,23
feat/TC-422-extract-code-snippets,integrate/main-e2e-20260128-0837,0
feat/TC-422-extract-code-snippets,fix/main-green-20260128-1505,0
feat/TC-422-extract-code-snippets,fix/env-gates-20260128-1615,0
feat/TC-422-extract-code-snippets,feat/TC-600-failure-recovery,0
feat/TC-422-extract-code-snippets,feat/golden-2pilots-20260201,39
feat/TC-430-ia-planner,impl/tc300-wire-orchestrator-20260128,24
feat/TC-430-ia-planner,integrate/main-e2e-20260128-0837,0
feat/TC-430-ia-planner,fix/main-green-20260128-1505,0
feat/TC-430-ia-planner,fix/env-gates-20260128-1615,0
feat/TC-430-ia-planner,feat/TC-600-failure-recovery,0
feat/TC-430-ia-planner,feat/golden-2pilots-20260201,43
feat/TC-440-section-writer,impl/tc300-wire-orchestrator-20260128,25
feat/TC-440-section-writer,integrate/main-e2e-20260128-0837,0
feat/TC-440-section-writer,fix/main-green-20260128-1505,0
feat/TC-440-section-writer,fix/env-gates-20260128-1615,0
feat/TC-440-section-writer,feat/TC-600-failure-recovery,0
feat/TC-440-section-writer,feat/golden-2pilots-20260201,45
feat/TC-450-linker-and-patcher,impl/tc300-wire-orchestrator-20260128,25
feat/TC-450-linker-and-patcher,integrate/main-e2e-20260128-0837,0
feat/TC-450-linker-and-patcher,fix/main-green-20260128-1505,0
feat/TC-450-linker-and-patcher,fix/env-gates-20260128-1615,0
feat/TC-450-linker-and-patcher,feat/TC-600-failure-recovery,0
feat/TC-450-linker-and-patcher,feat/golden-2pilots-20260201,47
feat/TC-460-validator,impl/tc300-wire-orchestrator-20260128,26
feat/TC-460-validator,integrate/main-e2e-20260128-0837,0
feat/TC-460-validator,fix/main-green-20260128-1505,0
feat/TC-460-validator,fix/env-gates-20260128-1615,0
feat/TC-460-validator,feat/TC-600-failure-recovery,0
feat/TC-460-validator,feat/golden-2pilots-20260201,50
feat/TC-470-fixer,impl/tc300-wire-orchestrator-20260128,28
feat/TC-470-fixer,integrate/main-e2e-20260128-0837,0
feat/TC-470-fixer,fix/main-green-20260128-1505,0
feat/TC-470-fixer,fix/env-gates-20260128-1615,0
feat/TC-470-fixer,feat/TC-600-failure-recovery,0
feat/TC-470-fixer,feat/golden-2pilots-20260201,55
feat/TC-480-pr-manager,impl/tc300-wire-orchestrator-20260128,29
feat/TC-480-pr-manager,integrate/main-e2e-20260128-0837,0
feat/TC-480-pr-manager,fix/main-green-20260128-1505,0
feat/TC-480-pr-manager,fix/env-gates-20260128-1615,0
feat/TC-480-pr-manager,feat/TC-600-failure-recovery,0
feat/TC-480-pr-manager,feat/golden-2pilots-20260201,57
feat/TC-500-clients-services,impl/tc300-wire-orchestrator-20260128,14
feat/TC-500-clients-services,integrate/main-e2e-20260128-0837,0
feat/TC-500-clients-services,fix/main-green-20260128-1505,0
feat/TC-500-clients-services,fix/env-gates-20260128-1615,0
feat/TC-500-clients-services,feat/TC-600-failure-recovery,0
feat/TC-500-clients-services,feat/golden-2pilots-20260201,16
feat/TC-510-mcp-server-setup,impl/tc300-wire-orchestrator-20260128,29
feat/TC-510-mcp-server-setup,integrate/main-e2e-20260128-0837,0
feat/TC-510-mcp-server-setup,fix/main-green-20260128-1505,0
feat/TC-510-mcp-server-setup,fix/env-gates-20260128-1615,0
feat/TC-510-mcp-server-setup,feat/TC-600-failure-recovery,0
feat/TC-510-mcp-server-setup,feat/golden-2pilots-20260201,58
feat/TC-511-mcp-tool-registration,impl/tc300-wire-orchestrator-20260128,29
feat/TC-511-mcp-tool-registration,integrate/main-e2e-20260128-0837,0
feat/TC-511-mcp-tool-registration,fix/main-green-20260128-1505,0
feat/TC-511-mcp-tool-registration,fix/env-gates-20260128-1615,0
feat/TC-511-mcp-tool-registration,feat/TC-600-failure-recovery,0
feat/TC-511-mcp-tool-registration,feat/golden-2pilots-20260201,59
feat/TC-512-mcp-tool-handlers,impl/tc300-wire-orchestrator-20260128,29
feat/TC-512-mcp-tool-handlers,integrate/main-e2e-20260128-0837,0
feat/TC-512-mcp-tool-handlers,fix/main-green-20260128-1505,0
feat/TC-512-mcp-tool-handlers,fix/env-gates-20260128-1615,0
feat/TC-512-mcp-tool-handlers,feat/TC-600-failure-recovery,0
feat/TC-512-mcp-tool-handlers,feat/golden-2pilots-20260201,60
feat/TC-520-telemetry-api-setup,impl/tc300-wire-orchestrator-20260128,29
